id,place_id,name,رستوران,کافی شاپ,قنادی,غیره,latitude,longitude,rating,priceClass,address,city,slug,ایرانی,کافه,شیرینی فروشی,سفره خانه,قهوه‌خانه,کبابی,تهیه غذا و کیترینگ,فست فود,بستنی فروشی,آبمیوه فروشی,پیتزایی,برگر,ترکیه‌ای,ساندویچی,بوتیک کیک,غذای سالم و گیاهی,آش و حلیم,نان و شیرینی,طباخی,ایتالیایی,فرنگی,غذای دریایی,چای خانه,فودکورت,کافی بار,گیلکی,لبنانی,باربیکیو,گیاهی,مکزیکی,هندی,بوفه ,عربی,گریل,اسنک و شیرینی,فینگرفود,مدیترانه ای
1,d9814be0-0a4a-4732-99f7-ffe8c740927a,راندوو (خوی),FALSE,TRUE,FALSE,FALSE,38.54245,44.95603,0,2,"بلوار شیخ نوایی ، بلوار مختار زاده ",خوی,randoo_khoye,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,1c3df79f-c74e-459d-89ed-bb8090153561,قصر (خوی),TRUE,FALSE,FALSE,FALSE,38.5555878,44.94508,8.1,2,"خوی، میدان دولفین، جنب پیتزای صریحی ",خوی,ghasr_khoy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,b5a31b6d-1a19-43ee-aa0b-20614aa0a121,باقلوا سنتر شانلی (یزد),FALSE,FALSE,TRUE,FALSE,37.49519,44.9850235,0,2,"بند، انتهای بلوار،جنب رستوران سناتور",بند,shanlibaklavacenter,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,cf62057e-8259-43d8-8ce2-8706b5a64479,نوشان,TRUE,FALSE,FALSE,FALSE,37.4978371,44.99767,8.2,2,"جاده بند ، تفرجگاه بند ",بند,nooshan-uromia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,47cf9dbc-578c-41eb-814f-33eade72bf60,کُ کُ (ارومیه),FALSE,TRUE,FALSE,FALSE,37.5259132,45.0386848,8.1,2,"خیابان دانشکده، مرکز خرید دانشکده، طبقه دوم",ارومیه,cococafe_uromia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,140e775f-7385-4aac-9551-596a6b1a16f4,رجب آشپز,TRUE,FALSE,FALSE,FALSE,37.7296028,45.0552979,8.1,1," کیلومتر ۱۷ جاده ارومیه به سلماس، نوشین شهر اول خیابان امام",تبریز,rajab-shef,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,1ca2a9c5-4680-4d6e-8303-a1ac56c25c5e,حیدربابا,TRUE,FALSE,FALSE,FALSE,37.5534325,45.05972,8.1,1,"دره چای ، فلکه نه پله",ارومیه,heydarbaba-urmia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,518d2c5c-904b-436e-9052-f524b2845b4f,کشکول,TRUE,FALSE,FALSE,FALSE,37.5355568,45.0574646,7.7,2,"خیابان برق ، نبش کوی بهار",ارومیه,kashkul-uromia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,bd4b841a-1896-4d2d-bda5-aea2ef3793a7,آبشار (ارومیه),FALSE,TRUE,FALSE,FALSE,37.5455055,45.10618,0,2," خیابان شیخ شلتوت، نرسیده به میدان تره بار، روبروی بانک سپه",ارومیه,abshar_oromieh,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,98d2ce6f-ae54-46d8-9faa-bc36765ec4c4,امین,TRUE,FALSE,FALSE,FALSE,37.5262,45.0641,7,2,"خیابان امین ، جنب رستوران مولوی",ارومیه,amin-urmia,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
