id,restaurant_id,work_hour
91,965b1e6d-0000-40fa-a67a-67af8d5b0673,6-22:30
92,13c2fbe7-8ba0-421d-9400-c25cf5b680e5,11-23:30
93,26612722-ea28-44c8-9786-c0dcbd967156,Nov-24
94,af54cc2d-c5e6-430f-99ea-efa3f4a687f7,Oct-23
95,c3ffb3bd-879b-4cbf-aeab-2b7210890c39,9-23:30
96,e1bc680a-6d81-48a0-8f8f-4326fb392d3b,Dec-23
97,9e75440c-0480-4275-8451-f4df810b01a8,Nov-23
98,45fe5fc3-b82f-413e-b493-eadc687f2513,11-23:30
99,b7a20041-9d10-47b3-8137-886c5bb1e2d8,11-23:30
100,0b600ec3-f9ec-452c-aead-4bcdf1557c25,Sep-22
101,8656ff83-b6f4-4442-b7a8-03c65577ae26,Nov-23
102,bcf7aee0-7315-4763-ac2b-4eed9f07f7ac,Sep-23
103,2a7e1898-8058-4019-828c-11c84c34f892,Sep-22
104,00e957cf-021c-490e-aaf3-a3d9ccb51ebe,Aug-22
105,5300031b-db39-4096-92b9-b0f49bc3b9dd,Dec-24
106,fb3ff843-097a-4211-85b5-4a20cacbb40e,Nov-24
107,46416f01-8ecb-4d8f-a900-cf1ed9517841,Nov-23
108,58db02f3-9ec1-4b70-a0ab-dc45febb5138,Dec-24
109,c1721d09-c3ca-4378-b775-b35dd7e5aff1,Nov-24
110,b529c70e-28b6-4cee-ace7-a4ed4a44afd0,Oct-22
111,32213c8a-4bbc-4068-944a-93c81417a776,Nov-23
112,bba75dad-4b6d-420f-8a5d-e84e31beec00,Nov-24
113,1fad841c-fa6e-45d2-901f-56270430c75f,Nov-23
114,0f18c815-bd6f-44ed-b3e9-11f89a3ade2e,Nov-23
115,8841d641-ee82-40cb-b15c-639cb9446554,9-11/16-23
116,6ccb2c94-9bd2-4d5b-a7fe-e5d0c7b27f4c,Nov-23
117,15a2293d-7318-4af4-926f-3ef3e9d9e3a0,11-23:30
118,dd7ac855-f4b4-4461-87e1-bc20893d2daf,Dec-23
119,4cb2ae01-e55f-4016-8a7a-888afbff118e,Dec-24
120,732a058a-126c-4e41-b02f-6308819a0bde,Dec-23
121,0f060c59-9bbd-49e8-90c5-d0ebbceb9b11,Dec-23
122,c4c73c97-95ee-4e91-b595-c3498655d866,Sep-17
123,0ddfde07-9c98-49fe-8591-7f1b307a2614,Nov-23
124,19e875e0-ebf0-49cb-b189-3fd57868b3a5,Oct-22
125,a9283862-c269-438c-a2f1-327a376ac3c7,Sep-22
126,5c61dfbe-9926-4390-99a2-cdae055c6aae,23
127,ffed0531-bce1-4a23-9f5a-2f924422a33a,20-23:30
128,7b649e80-52f2-4af8-bd83-09e923342683,Dec-23
129,d1b5b514-c8f3-4b96-a38e-89c84c2620d2,Sep-22
130,e0bafafe-98b8-4ebb-b3ab-ad300b699a26,Oct-23
131,d6248372-e922-4480-8b12-27d1b5233749,Sep-22
132,e7b834c7-b89c-4cd2-9e49-32eb066934a7,Oct-22
133,551efe34-510c-4d84-82fd-8a91687093d8,Nov-24
134,2f5f04e4-d888-4c81-b3c2-4134d08fb081,Nov-23
