id,restaurant_id,phone_number
1,8af70968-0814-4b2c-a20e-8f18ea0d4d55,2177619118
2,bb13c4c0-8887-4560-bd2d-2022ddbda1db,2122304700
3,31a5e115-b6eb-4a42-9517-f69f5c6ef386,2177525007
4,717e212c-2993-4cb2-a5ca-e216a597b4fc,2177602526
5,2f8492fd-6d3b-4bf2-9a60-c24c122094de,2177501953
6,d49cb3be-43a6-44b5-b70e-eb6529efe6e0,2188430913
7,715ba562-741c-4a46-8a7b-b0993ef47600,2188300560
8,4eb435cc-0fa6-4523-89f6-48c2bc33e373,2188424104
9,d9814be0-0a4a-4732-99f7-ffe8c740927a,4436365824
10,1c3df79f-c74e-459d-89ed-bb8090153561,4436225676
11,b5a31b6d-1a19-43ee-aa0b-20614aa0a121,9148307495
12,cf62057e-8259-43d8-8ce2-8706b5a64479,9148307495
13,47cf9dbc-578c-41eb-814f-33eade72bf60,4433478632
14,140e775f-7385-4aac-9551-596a6b1a16f4,4433734982
15,518d2c5c-904b-436e-9052-f524b2845b4f,33456666
16,bd4b841a-1896-4d2d-bda5-aea2ef3793a7,9143496710
17,98d2ce6f-ae54-46d8-9faa-bc36765ec4c4,9143496710
18,e76582a3-2f29-44b2-9b23-ce0e005f4f8b,443449169
19,b1e0d2b0-b86c-4c02-838e-22c1b4e14308,443449169
20,38a92d34-8301-4699-b0b3-df6f7fc60a53,443449169
21,667e870d-9c55-4ed8-909a-a4dd57a82d5e,9126325632
22,2d150da4-e80d-43af-9c7d-cd42f8ea5786,4142022207
23,8b04011c-edae-43ad-ac0e-fc83ce7071f8,4142422046
24,05f33a25-580a-49e4-af62-43874de5bfe4,4142422046
25,08f9de87-399f-49ca-8734-ba632dbdbc16,4136347908
26,dc1d5920-da3e-4bbe-8dce-76c2a595497a,4136344830
27,0ae80967-6756-4b97-aed7-4468c7b47e2a,4133263230
28,8ebcb6da-9d6c-4a69-9dc8-fcbc689d1a83,4133892041
29,7ed4a732-0e15-424e-a9da-421c0fe2d90c,9388855412
30,a6224241-e669-4ec0-99d3-d9435defaa42,4133862151
31,2669abad-9e48-49a6-b11d-7a0035b064e1,4133862151
32,2259a7a2-0fdf-465b-b84b-ce01bfa4d2d4,4133859294
33,221b4c9c-258d-4f95-9d32-df26b4244107,4133857500
34,f877f1b2-8cae-4711-84a6-65b34c329bb1,4133865729
35,c79f0623-bd61-4182-8481-3f01795ec5c7,9145067949
36,e49e1035-e47a-4a86-aff1-f9a7941a4c8b,4133327191
37,3acfda35-4f6f-4876-b6ff-563e152d6f69,33813446
38,6dd07e3a-8180-46c4-9288-068748d36cde,4133240191
39,12498551-99c3-494a-baa9-8860f63a3b02,33306190
40,da86a26e-8e02-4023-83ec-651b0312d071,33807735
41,e14a62c9-638c-43d4-8c00-bddf4ea4ddee,4133321000
42,c4737184-4426-4a11-bb26-435bbe58184c,4133323024
43,1c30aa22-9c1a-4404-8c68-c46b5f1736e1,4133339303
44,492f615f-aafb-40b9-8315-0a2a8fa4af3a,36697408
45,e489527a-7170-455d-a445-790daf089579,33299835
46,b7d98dba-3b86-40e7-9d1a-108c7c0589de,33260257
47,dcb56de6-f17e-4543-be44-916ba7c4e81f,4133312019
48,cc7c03c0-b4b9-4067-9154-84605cae39b8,33303231
49,f1ad2ef1-f0b7-43ef-9a2e-0e7f4e2cd28d,9356163131
50,3b39c55b-0908-4e95-9086-89b7c0fc3a58,4133314222
51,d5160628-6781-4b8e-afc8-ca6bf6809734,33325006
52,03aa592c-680c-4f34-b801-91f1482561c5,33319744
53,c77b5aca-214c-4879-98a3-9468e0a3abb0,4133290199
