,id,name
85,00332a00-6617-4709-926d-ed19477deb08,فست فود چوپی
86,ba813bc2-f182-457f-9dfd-2a336a73088f,مارول 
87,86615081-eb82-4abb-be95-b44d76c34ba4,دلین
88,8344b268-91cd-455b-817b-a5740bfaa1b6,هفت (هفت تیر)
89,4b0802c1-1210-23d1-9a82-cfd779b43e06,سپیدگاه
90,bdc7f0fe-2746-4099-89a1-a21986d23d89,گریفین
91,f27bbf64-03d3-4c49-a5ee-5fb6e6d6271d,کات
92,d2b8fb63-1cae-40c2-952a-64769f5e9187,چای (هفت تیر)
93,6ddfbcd7-4a36-4ecf-96e7-1608f64e21bb,هیزمیکس (خردمند)
94,ea19ff21-038b-4ea7-a7d8-3f1e80b3f51e,بارون
95,fd56f5a9-4cf4-416e-943b-dd3b3a95061e,اتفاق
96,430c7852-c11b-402e-b669-df65da1af98b,رایا
97,f107056f-e771-4ca6-8aa2-79be77ce3662,بازدید
98,a81cc038-7a52-4e7b-9047-c47edad7444d,نوبری2
99,9621a5c9-2e69-4553-82ee-6d530c0dc389,غنچه
100,004d5257-d74f-4a17-9701-460ecf2a6b88,پاشا
101,0c9a91b5-88c1-44fb-84f3-291f5c445ddd,دریمر
102,7667980b-3d25-4160-ae99-2f7649c363c7,واحه
103,f177cceb-ab18-478c-a8da-f1bdc852484a,لینت
104,d6f7ea8d-ea74-43a5-8415-dd103c0e1f01,بلک باکس
105,053bc531-eea5-4d52-99a6-c4789226b4cf,گالری ایرانشهر
106,e8f99c1f-2e34-4464-8baf-f56c3c7c41df,کاپری
107,19f0a9e6-c2fe-4ea7-b92c-9944440f4c2f,کاربن
108,1b24975e-73ed-43af-bfd0-57b06d578a59,گوشه
109,647a4274-3f86-458d-9561-c6d8b2f8792e,بادبادک
110,475f9e3a-18af-4d9c-5e7d-be238cce4fc2,آلبالو سیاه
111,722dcf64-3a35-4779-983e-9678b2d60b32,حوض کاشی
112,802f5273-7f40-4781-b3e0-a7ae8810f04f,کاخ (مطهری)
113,82d94d81-9172-41ed-999a-831916e71e2b,کفیشه
114,05ee6d76-f49c-44cd-8bcc-a6c78c1cd7da,دیپلمات
115,265cc5dd-79c9-43db-a69e-0414e2cbf903,تهیه غذای پارسی
