,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,ایرانی,فرنگی,کافه,فست فود,شیرینی فروشی,ایتالیایی,پیتزایی,کبابی,برگر,طباخی,آش و حلیم,نان و شیرینی,گیلکی,بوفه ,کافی بار,ساندویچی,بستنی فروشی,عربی,تهیه غذا و کیترینگ,سفره خانه,آبمیوه فروشی,بوتیک کیک,هندی,مکزیکی,گیاهی,غذای دریایی,ترکیه‌ای,گریل,فودکورت,قهوه‌خانه,اسنک و شیرینی,فینگرفود,مدیترانه ای,سلف سرویس,فرانسوی,آسیایی,تایلندی,غذای سالم و گیاهی,لبنانی,باربیکیو
243,9f4446ff-8cf4-4cc2-a46f-dcc118447d54,ایتالیانو,https://2.fidilio.com/storage/Images/thumbs/31a4b532-86e6-4be5-8b1a-d0c9dcd57790.jpg,[1],['ایتالیایی'],35.75328,51.19124,False,0.0,2.0,ایران مال،طبقهG1,False,تهران,False,eataliano,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,531860af-5064-4fc6-ba18-af6fd96ce893,هنر ثالث (ایران مال),https://2.fidilio.com/storage/Images/thumbs/77b9f4a0-00e1-4934-8b1a-294d18eaee3c.jpg,[2],['کافه'],35.7530174,51.1912956,False,6.699999809265137,2.0,"انتهای اتوبان شهید خرازی،ایران مال،باغ دیدار،طبقه G3 واحد ۱۴۴
",False,تهران,False,saless_book_cafe,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,ec1838b1-5d95-4ad6-bc79-767fbba060fd,دیدار,https://2.fidilio.com/storage/Images/thumbs/e3699862-8986-4553-bc9d-225ef78736a4.jpg,[2],['کافه'],35.75365,51.1919441,False,4.099999904632568,2.0, بزرگراه خرازی بازار ایران مال ط2,False,تهران,False,ec1838b1-5d95-4ad6-bc79-767fbba060fd,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,ca03c129-e3cc-48ba-995c-1e9a466c3074,مهستان,https://2.fidilio.com/storage/images/thumbs/ca03c129-e3cc-48ba-995c-1e9a466c3074_0.jpg,[1],"['سفره خانه', 'ایرانی']",35.9130173,51.0431442,False,7.0,3.0,جاده چالوس ، انتهای وینه ، کیلومتر 12 ,False,وینه,False,mahestan-chalus,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,09f86683-9d21-4cfb-aed5-de0c8935a356,شون برون,https://2.fidilio.com/storage/Images/thumbs/32daffa0-8b85-4e0b-82fb-061b0ded0779.jpg,"[1, 2]","['فرنگی', 'کافه']",35.7531052,51.1919975,False,6.0,2.0,ايران مال ، جنب آبنماى موزيكال,False,تهران,False,schonbrunn,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,7b9d526f-5308-4883-8210-3b6cef0d308c,بورسا کباب (ایران مال),https://2.fidilio.com/storage/images/Thumbs/bfd7eeee-3439-4b3a-aa15-ec22813d194f.jpg,[1],['ترکیه\u200cای'],35.7550545,51.19259,False,0.0,2.0,اتوبان شهید خرازی،مرکز تجاری و تفریحی ایران مال ، طبقه G3,False,تهران,False,bursakeba_iranmal,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,22bfe8ad-507b-4f65-94e8-18803e9eae20,لوپاسیو,https://2.fidilio.com/storage/Images/thumbs/6093f5fc-e401-4ea1-8b5d-e922fea4ae8a.jpg,[1],['فرنگی'],35.7534,51.1923943,False,7.599999904632568,3.0,"ایرانمال، طبقه جی دو، جنب آبشار باغ دیدار
",False,تهران,False,lepatioiranmall,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,df931fdf-c687-4c8b-bbb6-cbb8e6006437,شبرو,https://2.fidilio.com/storage/Images/thumbs/4d82b75f-bec8-455f-8596-7d1900b70875.jpg,[2],['کافه'],35.75426,51.19263,False,0.0,2.0,"ایران‌مال، طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار
",False,تهران,False,shebrocafe,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,024e9e8e-fbb8-4bfb-afe7-4656c8735768,کارشو,https://2.fidilio.com/storage/Images/thumbs/35295924-dd30-43a7-980f-d45c52e782a4.jpg,[2],['کافه'],35.7545357,51.1927452,False,0.0,2.0,ایران مال،طبقه G1,False,تهران,False,carshow,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,f274acac-bb52-4130-8c6a-faabeeeabaa6,بال (ایران مال),https://2.fidilio.com/storage/Images/thumbs/f71a7575-1118-4a3d-9d2a-7e03a6a8914d.jpg,[2],['کافه'],35.7528648,51.19247,False,6.300000190734863,2.0,ایران مال،طبقه اول,False,تهران,False,bal_iranmal,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
