,id,name,image,types,styles,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,latitude,longitude,isSpecialPin,rating,priceClass,address,city,hasOffer,isClubMember,slug,HasReservation,ایرانی,کافه,شیرینی فروشی,سفره خانه,قهوه‌خانه,کبابی,تهیه غذا و کیترینگ,فست فود,بستنی فروشی,آبمیوه فروشی,پیتزایی,برگر,ترکیه‌ای,ساندویچی,بوتیک کیک,غذای سالم و گیاهی,آش و حلیم,نان و شیرینی,طباخی,ایتالیایی,فرنگی,غذای دریایی,چای خانه,فودکورت,کافی بار,گیلکی,لبنانی,باربیکیو,گیاهی,مکزیکی,هندی,بوفه ,عربی,سلف سرویس,گریل,اسنک و شیرینی,فینگرفود,مدیترانه ای,فرانسوی,آسیایی,تایلندی,فالوده ,غذای سلامت,قلیان سرا,مراکشی ,ژاپنی,مغولی,چینی,اسنک و شورینی
10,e76582a3-2f29-44b2-9b23-ce0e005f4f8b,فلامینگو (ارومیه),https://2.fidilio.com/storage/Images/thumbs/5586c478-b35f-454d-986d-7bb4760f5fb3.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,37.5408058,45.06832,False,8.100000381469727,2,خیابان کاشانی، جنب اداره شرکت نفت، نرسیده به سه راه باکری,ارومیه,False,False,flamingo_urmia,False,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,b1e0d2b0-b86c-4c02-838e-22c1b4e14308,غذای آماده سید,https://2.fidilio.com/storage/Images/thumbs/5f843d5d-02c5-42e7-81cd-8b3aed354153.jpg,[1],['تهیه غذا و کیترینگ'],1,0,0,0,0,0,0,0,36.70317,45.1488953,False,0.0,2,پیرانشهر، خیابان مردوخ ,پيرانشهر,False,False,ghazayeamadeseyed,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,38a92d34-8301-4699-b0b3-df6f7fc60a53,هادی (هادی شهر),https://2.fidilio.com/storage/Images/thumbs/ea95e298-e828-4301-9786-06abef4a5677.jpg,[4],['شیرینی فروشی'],0,0,0,1,0,0,0,0,38.8485031,45.66161,False,0.0,2, هادی شهر، خیابان شهید یحیوی ، جنب هتل هادی,هادیشهر,False,False,hadi_hadishahr,False,0.0,,1.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,667e870d-9c55-4ed8-909a-a4dd57a82d5e,دومینوس (جلفا),https://2.fidilio.com/storage/Images/thumbs/9f2b9d10-d0ca-47dd-b470-3bf6a9e88326.jpg,[1],['فست فود'],1,0,0,0,0,0,0,0,38.94172,45.63504,False,0.0,2,میدان عاشورا، خیابان ولایت فقیه ,جلفا,False,False,dominoos_jolfa,False,0.0,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2d150da4-e80d-43af-9c7d-cd42f8ea5786,حاج علی خرم,https://2.fidilio.com/storage/Images/thumbs/a954a27b-3bb2-41aa-8d64-f21dbc18c124.jpg,[1],"['کبابی', 'ایرانی']",1,0,0,0,0,0,0,0,38.934948,45.62067,False,0.0,2,خیابان امام خمینی نرسیده به مخابرات,جلفا,False,False,hajalikhoram-jolfa,False,1.0,,0.0,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8b04011c-edae-43ad-ac0e-fc83ce7071f8,توسکا,https://2.fidilio.com/storage/Images/thumbs/a8b6f276-13e7-4e3c-b05e-51da2a642e19.jpg,"[1, 2]","['فست فود', 'کافه']",1,1,0,0,0,0,0,0,38.173584,45.70851,False,0.0,2, شبستر ، جنب دانشگاه آزاد شماره1,شبستر,False,False,toska-shabestar,False,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,05f33a25-580a-49e4-af62-43874de5bfe4,نارنج,https://2.fidilio.com/storage/Images/thumbs/89545306-e8d0-450b-b2fb-e8ac301da47e.jpg,[1],['فست فود'],1,0,0,0,0,0,0,0,38.4346275,45.74774,False,8.199999809265137,2, مرند،خیابان تختی، روبروی بانک مسکن,مرند,False,False,narenj_marand,False,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,08f9de87-399f-49ca-8734-ba632dbdbc16,کاکتوس (تبریز),https://2.fidilio.com/storage/Images/thumbs/8d6dfa3a-0e48-4996-b888-a6aeb0d89ddc.jpg,[1],['فست فود'],1,0,0,0,0,0,0,0,37.9924164,46.47908,False,0.0,2, باسمنج، خیابان امام خمینی,تبریز,False,False,kaktos_tabriz,False,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,dc1d5920-da3e-4bbe-8dce-76c2a595497a,شهریار (تبریز),https://2.fidilio.com/storage/Images/thumbs/f806b5a9-6c65-407f-af7e-1af93a17b8ca.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,37.9940643,46.47437,False,0.0,2, باسمنج، خیابان امام خمینی,تبریز,False,False,shahriyar_tabriz,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0ae80967-6756-4b97-aed7-4468c7b47e2a,اجاق (تبریز),https://2.fidilio.com/storage/Images/thumbs/3b6f535c-2767-490d-add4-4f63b7b52c32.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,38.0185127,46.36,False,0.0,2,"جاده تهران، نرسیده به کندرود
",تبریز,False,False,ojagh_tabriz,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
