,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,ایرانی,تهیه غذا و کیترینگ,فست فود,برگر,کبابی,کافه,نان و شیرینی,بوتیک کیک,پیتزایی,گیلکی,شیرینی فروشی,سفره خانه,ایتالیایی,ساندویچی,فرنگی,عربی,هندی,غذای دریایی,گیاهی,غذای سلامت,غذای سالم و گیاهی,مکزیکی,بستنی فروشی,آبمیوه فروشی,ترکیه\u200cای,گریل,طباخی,لبنانی,چینی,قلیان سرا,چای خانه,اسنک و شیرینی,بوفه ,مدیترانه ای,آش و حلیم,قهوه\u200cخانه,آسیایی,مراکشی ,کافی بار,سلف سرویس,,ترکیه‌ای,فودکورت,قهوه‌خانه,فینگرفود,فرانسوی,تایلندی,باربیکیو
10,9a5051df-3d28-4773-ad0e-e771b00533da,بابانوروز,https://2.fidilio.com/storage/images/thumbs/9A5051DF-3D28-4773-AD0E-E771B00533DA.jpg,[4],['شیرینی فروشی'],35.71985,51.43373,False,6.900000095367432,2.0,سهروردی جنوبی.چهارراه دیبا.خیابان ملایری پور.پلاک 12/9  ,False,تهران,False,babanoroz,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
11,eb04147d-3fe1-82db-e1d9-4d270781bff3,باغ صبا (شریعتی),https://2.fidilio.com/storage/Images/thumbs/4687d6b1-20ad-48aa-aa8b-908ecc3f6501.jpg,[1],"['سفره خانه', 'ایرانی']",35.7175179,51.44082,False,5.099999904632568,3.0,شریعتی، روبروی ملک,False,تهران,False,baghesaba,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
12,bc9364d7-0f69-46b7-97a7-616b7167ce24,برازا (مطهری),https://2.fidilio.com/storage/Images/thumbs/b3ec0081-d781-41b4-8c93-42782e9bef2b.jpg,[2],['کافه'],35.71911,51.43948,False,0.0,2.0,خیابان مطهری، خیابان ترکمنستان، نبش بن‌ بست توسکا,False,تهران,False,brazza-motahari,False,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
13,3598bd35-ead6-4091-a58d-2550a4d4b7cc,ماچی,https://2.fidilio.com/storage/images/thumbs/3598bd35-ead6-4091-a58d-2550a4d4b7cc_0.jpg,[1],['فست فود'],35.719162,51.4396477,False,7.7,2.0, خیابان شهید مطهری ، خیابان ترکمنستان ، نبش توسکا، پلاک5/1,False,تهران,False,machee,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
14,75f9d6a2-4a8a-4e4e-b190-ecc544d4277b,فضلی (سهروردی),https://2.fidilio.com/storage/Images/thumbs/28415b96-dc51-4ffc-b891-637ad5e4a9b1.jpg,[1],['کبابی'],35.7205238,51.43402,False,8.100000381469727,2.0,"خیابان سهروردی جنوبی، بعد از چهارراه ملایری پور، نبش کوچه امین الهی
",False,تهران,False,fazli_sohrevardi,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
15,97380d35-e265-4ce0-8384-cd0beafaafdf,خانه بهار,https://2.fidilio.com/storage/Images/thumbs/0c3ba9c6-f7b6-4dd6-b053-2b4320fe3527.jpg,"[1, 2]","['ایرانی', 'کافه']",35.7103,51.4298859,False,0.0,2.0,"خیابان بهار شمالی (پشت ورزشگاه امجدیه) بالاتر از ورزنده بن بست مخبرالملک پلاک ۴
",False,تهران,False,khaneye_bahar,False,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
16,acd162ab-02a9-442d-be62-c32032cb6c6c,بناک,https://2.fidilio.com/storage/Images/thumbs/2b3cd1d8-1124-47fd-85f3-f1be0216d25d.jpg,[2],['کافه'],35.71028,51.42963,False,6.699999809265137,2.0,"امجدیه ، بهارشمالی ، بالاتر از ورزنده ، کوچه مخبرالملک ، پلاک ۴
",False,تهران,False,bonak_cafe,False,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
17,a5ecf4d6-8ba5-4015-96b0-92bf8fb41ebd,کالج برگر,https://2.fidilio.com/storage/Images/thumbs/e27b5177-bbe9-48af-aaf6-1406bf516352.jpg,[1],['برگر'],35.7197723,51.42995,False,8.100000381469727,2.0,بالاتر از هفت تیر، ملایری پور، پلاک 88/1,False,تهران,False,theburgerscollege,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
18,badc22a8-0718-4a8c-8d4b-cc8e3a196738,هور خانه فرهنگ و غذا,https://2.fidilio.com/storage/Images/thumbs/ac12a91c-9aa6-4163-b3f4-b07b37305c23.jpg,"[1, 2]","['ایرانی', 'ایتالیایی', 'کافه']",35.71596,51.4270363,False,7.0,2.0,"هفت تیر، کوچه مانی، پلاک ۷۵
",False,تهران,False,hoorfamily,False,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
19,31b10400-a12e-45e4-8302-33d4c45808d6,سنترال,https://2.fidilio.com/storage/Images/thumbs/48db8115-1a39-4ce9-8491-2b38c429b634.jpg,"[1, 2]","['ایتالیایی', 'کافه']",35.72142,51.4333038,False,0.0,2.0,"سهروردي جنوبي.خيابان برادران نوبخت . جنب اتو آرمه .پلاك ١٧
",False,تهران,False,central_caferestaurant,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,,,,,,,,
