,Unnamed: 0,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8
47,47,78859f28-1d2a-421a-882f-5823b86d8599,سدروس (مشهد),https://2.fidilio.com/storage/Images/thumbs/bc29e293-77df-4f7a-ab69-0bdd49a421fa.jpg,[1],"['ایرانی', 'ایتالیایی']",36.2882156,59.5451279,False,0.0,2,پیروزی،دعبل خزاعی12 ,False,مشهد,False,cedrus_mashhad,False,1,0,0,0,0,0,0,0
48,48,24dc088e-fc2c-46a0-86a5-1177f9b586e7,پردیسان (هتل پردیسان مشهد),https://2.fidilio.com/storage/Images/thumbs/d71cae1e-b68b-4f96-8b06-4b68c3e07419.jpg,[2],['کافه'],36.300602,59.53622,False,6.800000190734863,2, بزرگراه کلانتری بعد از میدان استقلال هتل پردیسان,False,مشهد,False,pardisan_mashad,False,0,1,0,0,0,0,0,0
49,49,e003e8d8-5ea6-422d-ac81-94fa13e8cec3,قصرهدیش,https://2.fidilio.com/storage/Images/thumbs/13717e50-e20d-45cb-905b-19689dc82adc.jpg,[1],['ایرانی'],36.3377724,59.5426521,False,6.2,3,بلوار جانباز ، جنب مجتمع تجاری کیان سنتر,False,مشهد,False,ghsrehadish,False,1,0,0,0,0,0,0,0
50,50,1c0f4b86-cc47-4d68-98f4-b03e814db941,تراس (مشهد),https://2.fidilio.com/storage/Images/thumbs/0bdfde07-c5e3-4a57-ad00-4c1ac53220fc.jpg,"[1, 2]","['فرنگی', 'ایرانی', 'کافه']",36.3214722,59.5330238,False,8.199999809265137,2,مشهد، بلوار وکیل آباد، بین امامت 6 و 8,False,مشهد,False,terasmashhad,False,1,1,0,0,0,0,0,0
51,51,d8ed8d8f-7ee5-4536-bbe8-562e9e1ee4db,مجموعه غذایی تراس,https://2.fidilio.com/storage/Images/thumbs/c7c9fc40-3c03-41d4-9d34-e6963ae2dae0.jpg,"[1, 2]","['فرنگی', 'ایرانی', 'کافه']",36.3214722,59.5330276,False,0.0,2," بلوار وکیل آباد ، بلوار امامت ، بین امامت ۶ و ۸
",False,مشهد,False,terrace-mashhad,False,1,1,0,0,0,0,0,0
52,52,2a6ad8df-bf7c-41b1-981e-09a804886fad,لئون,https://2.fidilio.com/storage/images/thumbs/2a6ad8df-bf7c-41b1-981e-09a804886fad_0.jpg,[2],[],36.26853,59.5518646,False,7.5,2,بزرگراه کلانتری ، مجموعه توریستی آبادگران ، ایران برج 1 ، B1,False,مشهد,False,leon-mashhad,False,0,1,0,0,0,0,0,0
53,53,b6db3385-bbb5-47a5-8533-b268dd723ba8,صندلی,https://2.fidilio.com/storage/images/thumbs/b6db3385-bbb5-47a5-8533-b268dd723ba8_0.jpg,[2],['کافه'],36.3222656,59.5217934,False,6.699999809265137,2,وكيل اباد 15 ، نبش شهيد قاسمي 1,False,مشهد,False,sandali-mashhad,False,0,1,0,0,0,0,0,0
54,54,4ad33d8b-7ebc-4dd1-8b6f-3927f0aa1fb0,آرون (مشهد),https://2.fidilio.com/storage/Images/thumbs/f25ab08f-13cf-4efa-a864-3cf68b9e42b8.jpg,[2],['کافه'],36.3211174,59.5198364,False,0.0,2," كوثر شمالي ١ ، لاله ١ پلاك ١
( وكيل اباد ١٠ ، لاله ، پلاك ١",False,مشهد,False,aron_mashhad,False,0,1,0,0,0,0,0,0
55,55,e120ad7c-caf4-4036-b41b-2e1a3abaa3f2,تاکسی ساندویچ,https://2.fidilio.com/storage/images/thumbs/e120ad7c-caf4-4036-b41b-2e1a3abaa3f2_0.jpg,[1],['ساندویچی'],36.3193779,59.51649,False,7.3,2,بلوار هاشمیه ، هاشمیه 6 ، چهارراه اول  ،سمت چپ ، پلاک 7,False,مشهد,False,taxisandwich-mashhad,False,1,0,0,0,0,0,0,0
56,56,cea333b2-16d8-4511-b929-06157da516b5,پونه,https://2.fidilio.com/storage/images/thumbs/cea333b2-16d8-4511-b929-06157da516b5_0.jpg,[1],['ایرانی'],36.3035927,59.5152245,False,0.0,1,مشهد-بلوار پیروزی-بین پیروزی 27 و 29 مقابل پمپ بنزین,False,مشهد,False,ponemashhad,False,1,0,0,0,0,0,0,0
